# Max time: 1.6 seconds
# Timestep: 2.5e-06 seconds
# Iterations: 640001 per particle per run
# Seed: 2345
# Setup complete, beginning evolution.
# Y: [0, 2e-05]
# Z: [-4e-05, 1e-05]
# Test step: 1 microns.
4e-06 -3.2e-05 0.96875
4e-06 -3.1e-05 1
4e-06 -3e-05 1
4e-06 -2.9e-05 0.9375
4e-06 -2.8e-05 1
4e-06 -2.7e-05 0.984375
4e-06 -2.6e-05 0.984375
4e-06 -2.5e-05 0.96875
4e-06 -2.4e-05 1
4e-06 -2.3e-05 1
4e-06 -2.2e-05 0.96875
4e-06 -2.1e-05 1
4e-06 -2e-05 1
4e-06 -1.9e-05 1
4e-06 -1.8e-05 1
4e-06 -1.7e-05 1
4e-06 -1.6e-05 1
4e-06 -1.5e-05 1
4e-06 -1.4e-05 1
4e-06 -1.3e-05 1
4e-06 -1.2e-05 1
4e-06 -1.1e-05 0.96875
4e-06 -1e-05 0.984375
4e-06 -9e-06 1
4e-06 -8e-06 1
4e-06 -7e-06 1
4e-06 -6e-06 0.984375
4e-06 -5e-06 0.984375
4e-06 -4e-06 1
4e-06 -3e-06 0.96875
4e-06 -2e-06 1
4e-06 -1e-06 1
4e-06 -1.0099e-13 1
4e-06 1e-06 1
4e-06 2e-06 0.96875
4e-06 3e-06 0.78125
4e-06 4e-06 0.453125
4e-06 5e-06 0.046875
4e-06 6e-06 0
4e-06 7e-06 0
4e-06 8e-06 0
4e-06 9e-06 0.015625
4e-06 1e-05 0
5e-06 -4e-05 1
5e-06 -3.9e-05 0.9375
5e-06 -3.8e-05 0.953125
5e-06 -3.7e-05 0.984375
5e-06 -3.6e-05 0.984375
5e-06 -3.5e-05 0.984375
5e-06 -3.4e-05 0.953125
5e-06 -3.3e-05 0.984375
5e-06 -3.2e-05 0.984375
5e-06 -3.1e-05 0.984375
5e-06 -3e-05 0.984375
5e-06 -2.9e-05 0.984375
5e-06 -2.8e-05 1
5e-06 -2.7e-05 0.984375
5e-06 -2.6e-05 1
5e-06 -2.5e-05 1
5e-06 -2.4e-05 1
5e-06 -2.3e-05 1
5e-06 -2.2e-05 0.984375
5e-06 -2.1e-05 1
5e-06 -2e-05 1
5e-06 -1.9e-05 0.984375
5e-06 -1.8e-05 0.953125
5e-06 -1.7e-05 1
5e-06 -1.6e-05 1
5e-06 -1.5e-05 0.984375
5e-06 -1.4e-05 0.96875
5e-06 -1.3e-05 0.984375
5e-06 -1.2e-05 1
5e-06 -1.1e-05 0.984375
5e-06 -1e-05 1
