# Max time: 1.3 seconds
# Timestep: 2.7 microsec
# Num particles 1024
# y steps: 4
# z steps: 113
# Iterations: 481482 per particle per run
# y: [0, 9.9e-07]
# z: [-2e-05, 8.1e-06]
# Test step: 0.25 microns.
# Elapsed time: 2298.9 ms
0 6.75e-06 0
# Elapsed time: 205.496 ms
0 7e-06 0
# Elapsed time: 163.407 ms
0 7.25e-06 0
# Elapsed time: 104.642 ms
0 7.5e-06 0
# Elapsed time: 59.053 ms
0 7.75e-06 0
# Elapsed time: -0.904 ms
0 8e-06 0
# Elapsed time: 2301.72 ms
2.5e-07 -2e-05 0.0800781
# Elapsed time: 2280.26 ms
2.5e-07 -1.975e-05 1
# Elapsed time: 2280.09 ms
2.5e-07 -1.95e-05 1
# Elapsed time: 2280.35 ms
2.5e-07 -1.925e-05 1
# Elapsed time: 2301.02 ms
2.5e-07 -1.9e-05 1
# Elapsed time: 2280.37 ms
2.5e-07 -1.875e-05 1
# Elapsed time: 2280.05 ms
2.5e-07 -1.85e-05 1
# Elapsed time: 2300.08 ms
2.5e-07 -1.825e-05 1
# Elapsed time: 2280.13 ms
2.5e-07 -1.8e-05 1
# Elapsed time: 2282.8 ms
2.5e-07 -1.775e-05 1
# Elapsed time: 2292.66 ms
2.5e-07 -1.75e-05 1
# Elapsed time: 2280.07 ms
2.5e-07 -1.725e-05 1
# Elapsed time: 2280.23 ms
2.5e-07 -1.7e-05 1
# Elapsed time: 2299.98 ms
2.5e-07 -1.675e-05 1
# Elapsed time: 2300.45 ms
2.5e-07 -1.65e-05 1
# Elapsed time: 2280.15 ms
2.5e-07 -1.625e-05 1
# Elapsed time: 2280.1 ms
2.5e-07 -1.6e-05 1
# Elapsed time: 2290.76 ms
2.5e-07 -1.575e-05 1
# Elapsed time: 2280.29 ms
2.5e-07 -1.55e-05 1
# Elapsed time: 2280.28 ms
2.5e-07 -1.525e-05 1
# Elapsed time: 2291.65 ms
2.5e-07 -1.5e-05 1
# Elapsed time: 2280.09 ms
2.5e-07 -1.475e-05 1
# Elapsed time: 2282.59 ms
2.5e-07 -1.45e-05 1
# Elapsed time: 2287.9 ms
2.5e-07 -1.425e-05 1
# Elapsed time: 2280.13 ms
2.5e-07 -1.4e-05 1
# Elapsed time: 2280.35 ms
2.5e-07 -1.375e-05 1
# Elapsed time: 2293.92 ms
2.5e-07 -1.35e-05 1
# Elapsed time: 2280.16 ms
2.5e-07 -1.325e-05 1
# Elapsed time: 2281.85 ms
2.5e-07 -1.3e-05 1
# Elapsed time: 2291.82 ms
2.5e-07 -1.275e-05 1
# Elapsed time: 2280.09 ms
2.5e-07 -1.25e-05 1
# Elapsed time: 2280.33 ms
2.5e-07 -1.225e-05 1
# Elapsed time: 2282.14 ms
2.5e-07 -1.2e-05 1
# Elapsed time: 2301.62 ms
2.5e-07 -1.175e-05 1
# Elapsed time: 2280.21 ms
2.5e-07 -1.15e-05 1
# Elapsed time: 2281.96 ms
2.5e-07 -1.125e-05 1
# Elapsed time: 2294.49 ms
2.5e-07 -1.1e-05 1
# Elapsed time: 2280.18 ms
2.5e-07 -1.075e-05 1
# Elapsed time: 2280.22 ms
2.5e-07 -1.05e-05 1
# Elapsed time: 2295.37 ms
2.5e-07 -1.025e-05 1
# Elapsed time: 2297.14 ms
2.5e-07 -1e-05 1
# Elapsed time: 2280.16 ms
2.5e-07 -9.75e-06 1
# Elapsed time: 2280.09 ms
2.5e-07 -9.5e-06 1
# Elapsed time: 2295.62 ms
2.5e-07 -9.25e-06 1
# Elapsed time: 2280.15 ms
2.5e-07 -9e-06 1
# Elapsed time: 2280.12 ms
2.5e-07 -8.75e-06 1
# Elapsed time: 2305.59 ms
2.5e-07 -8.5e-06 1
# Elapsed time: 2280.2 ms
2.5e-07 -8.25e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -8e-06 1
# Elapsed time: 2305.58 ms
2.5e-07 -7.75e-06 1
# Elapsed time: 2298.54 ms
2.5e-07 -7.5e-06 1
# Elapsed time: 2280.2 ms
2.5e-07 -7.25e-06 1
# Elapsed time: 2280.14 ms
2.5e-07 -7e-06 1
# Elapsed time: 2293.84 ms
2.5e-07 -6.75e-06 1
# Elapsed time: 2280.15 ms
2.5e-07 -6.5e-06 1
# Elapsed time: 2280.31 ms
2.5e-07 -6.25e-06 1
# Elapsed time: 2306.3 ms
2.5e-07 -6e-06 1
# Elapsed time: 2280.17 ms
2.5e-07 -5.75e-06 1
# Elapsed time: 2280.35 ms
2.5e-07 -5.5e-06 1
# Elapsed time: 2306.69 ms
2.5e-07 -5.25e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -5e-06 1
# Elapsed time: 2281 ms
2.5e-07 -4.75e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -4.5e-06 1
# Elapsed time: 2292.84 ms
2.5e-07 -4.25e-06 1
# Elapsed time: 2280.18 ms
2.5e-07 -4e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -3.75e-06 1
# Elapsed time: 2294.13 ms
2.5e-07 -3.5e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -3.25e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -3e-06 1
# Elapsed time: 2305.87 ms
2.5e-07 -2.75e-06 1
# Elapsed time: 2302.43 ms
2.5e-07 -2.5e-06 1
# Elapsed time: 2280.16 ms
2.5e-07 -2.25e-06 1
# Elapsed time: 2280.15 ms
2.5e-07 -2e-06 1
# Elapsed time: 2291.74 ms
2.5e-07 -1.75e-06 1
# Elapsed time: 2280.35 ms
2.5e-07 -1.5e-06 1
# Elapsed time: 2281.2 ms
2.5e-07 -1.25e-06 1
# Elapsed time: 2305.89 ms
2.5e-07 -9.99999e-07 1
# Elapsed time: 2302.73 ms
2.5e-07 -7.49999e-07 1
